"Country","Resistance","Year","Pathogen","SourceFile"
"Estonia",9,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Finland",0.4,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"France",22.9,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Germany",6.9,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Greece",55.4,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Hungary",32.1,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Iceland",0,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Ireland",7.9,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Italy",41.8,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Latvia",39.8,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Lithuania",33.3,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Luxembourg",17,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Malta",20.3,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Netherlands",2.2,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Norway",1.8,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Poland",52.5,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Portugal",21.9,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Romania",42.9,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Slovakia",57.9,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Slovenia",15.9,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Spain",11.2,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Sweden",1.7,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"United Kingdom",4.9,2013,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2013.xlsx"
"Austria",8.3,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Belgium",11.3,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Bulgaria",8.3,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Croatia",18.4,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Cyprus",4.3,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Czech Republic",23.3,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Denmark",1.7,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Estonia",0,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Finland",4.6,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"France",12.6,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Germany",9.2,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Greece",39.3,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Hungary",18.9,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Iceland",0,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Ireland",7.3,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
